"id_fornecedor","nome","contato"
"1","AstroSupply","contato@astrosupply.com"
"2","HorizonDistributors","contato@horizondistributors.com"
"3","EchoLogistics","contato@echologistics.com"
"4","CosmicConnections","contato@cosmicconnections.com"
"5","TerraTrade","contato@terratrade.com"
"6","PinnaclePartners","contato@pinnaclepartners.com"
"7","NebulaNetworks","contato@nebulanetworks.com"
"8","OceanicOrigins","contato@oceanicorigins.com"
"9","SummitSolutions","contato@summitsolutions.com"
"10","InfinityImports","contato@infinityimports.com"
