"venda_id","produto_id"
"1","1510"
"2","1762"
"3","6889"
"3","5477"
"3","2181"
"4","2831"
"4","7855"
"4","5426"
"5","3462"
"5","9915"
"5","9706"
"6","111"
"6","9046"
"7","4416"
"7","6843"
"7","8306"
"8","3906"
"9","5360"
"9","6599"
"10","6939"
"10","29"
"10","8431"
"10","6486"
"11","4598"
"12","1746"
"12","8794"
"12","1615"
"12","281"
"12","3461"
"13","1213"
"13","7116"
"14","4803"
"14","3745"
"14","8631"
"15","5619"
"15","7143"
"15","1695"
"15","1264"
"16","4"
"16","1637"
"16","5750"
"17","3036"
"17","3725"
"17","3092"
"17","7976"
"17","4266"
"18","1644"
"18","8975"
"18","4892"
"19","779"
"20","4756"
"21","6423"
"21","7979"
"21","9313"
"21","126"
"22","2463"
"22","3816"
"23","370"
"23","5414"
"23","3214"
"23","8225"
"23","2835"
"24","2685"
"24","4328"
"24","6064"
"25","833"
"26","8156"
"26","7100"
"26","2131"
"27","3899"
"27","1659"
"27","2240"
"28","6658"
"28","2220"
"28","3830"
"28","8374"
"28","8981"
"29","381"
"29","5386"
"30","4468"
"31","4863"
"31","3965"
"32","6883"
"32","3187"
"32","6652"
"32","6250"
"33","7889"
"33","498"
"33","7116"
"33","5979"
"34","3728"
"34","5426"
"35","6007"
"35","781"
"36","4909"
"36","3893"
"36","488"
"36","8449"
"37","1639"
"37","8570"
"37","4101"
"37","127"
"38","5404"
"38","2275"
"38","6329"
"39","9740"
"39","6534"
"39","7687"
"40","5227"
"41","6819"
"41","7483"
"41","1317"
"41","2431"
"42","3436"
"42","730"
"43","2947"
"43","882"
"43","2888"
"43","7623"
"44","4758"
"44","4711"
"44","1842"
"45","3339"
"45","9983"
"46","5655"
"46","2582"
"46","9209"
"47","6776"
"47","1140"
"47","3624"
"47","2673"
"47","9811"
"48","1394"
"48","8786"
"48","5658"
"49","7958"
"49","1438"
"49","1695"
"49","7341"
"49","6278"
"50","2548"
"50","7199"
"50","2295"
"50","3767"
"51","6186"
"51","2250"
"51","3068"
"51","5677"
"52","9525"
"53","3586"
"54","5618"
"55","5597"
"55","7866"
"55","1409"
"55","65"
"55","7793"
"56","4624"
"56","5538"
"57","3691"
"57","3545"
"57","1478"
"57","402"
"58","61"
"58","8456"
"59","6842"
"60","240"
"60","4185"
"60","6939"
"60","3974"
"60","1286"
"61","8235"
"62","2548"
"62","3078"
"62","5732"
"63","5889"
"63","5258"
"63","7791"
"64","4076"
"64","715"
"64","25"
"65","14"
"65","2360"
"65","8562"
"65","3745"
"66","5482"
"66","6172"
"66","8300"
"67","4069"
"67","8119"
"67","6616"
"68","5795"
"69","2678"
"69","7549"
"69","9303"
"70","3270"
"70","5514"
"70","9722"
"71","3786"
"71","5090"
"71","2680"
"72","407"
"72","4402"
"72","5761"
"73","2354"
"73","423"
"73","4110"
"73","8703"
"73","8708"
"74","6392"
"74","9641"
"74","6285"
"75","8647"
"75","3171"
"75","4339"
"75","1898"
"76","6334"
"77","2572"
"77","7822"
"77","3378"
"77","9217"
"77","1005"
"78","7006"
"78","6645"
"78","3133"
"78","7834"
"78","6432"
"79","3516"
"79","8033"
"79","6637"
"80","259"
"80","119"
"80","1901"
"80","4980"
"80","8245"
"81","4295"
"81","9392"
"82","248"
"82","3723"
"82","56"
"83","1178"
"83","3675"
"83","1938"
"83","9344"
"84","9556"
"84","6927"
"84","7075"
"84","1093"
"84","2854"
"85","3748"
"85","6320"
"85","1864"
"86","2374"
"86","5497"
"86","3219"
"86","3180"
"86","6879"
"87","9517"
"87","2109"
"87","5632"
"87","6338"
"87","5439"
"88","1161"
"88","5202"
"88","6323"
"88","5853"
"88","4315"
"89","1537"
"89","1812"
"90","1716"
"90","2810"
"90","3712"
"91","6525"
"91","7253"
"91","558"
"91","4398"
"92","2222"
"92","5554"
"93","6595"
"93","2748"
"93","2294"
"93","1688"
"94","8820"
"94","1675"
"94","9453"
"94","9759"
"94","3304"
"95","5347"
"95","7352"
"95","4220"
"95","8005"
"96","2125"
"96","2361"
"96","2061"
"97","2979"
"98","5386"
"98","3930"
"98","5127"
"98","9788"
"98","7722"
"99","8172"
"99","3607"
"99","9136"
"99","2044"
"100","6079"
"100","2474"
"100","1087"
"100","8866"
"101","8194"
"101","1134"
"102","3676"
"102","4954"
"102","187"
"102","5363"
"103","4225"
"103","2221"
"103","9365"
"103","3658"
"103","8662"
"104","737"
