"id_produto","nome_produto","preco","categoria_id","marca_id","fornecedor_id","data_estoque","status"
"1","Bola de Futebol","24.48","4","6","10","2020-12-27","Vendido"
"2","Chocolate","1351.17","4","4","2","2021-02-13","Vendido"
"3","Celular","1351.88","4","3","4","2021-03-08","Vendido"
"4","Chocolate","662.65","5","1","10","2023-05-31","Vendido"
"5","Celular","1705.5","1","4","4","2021-01-19","Vendido"
"6","Bola de Futebol","1941.02","3","8","2","2022-05-10","Estoque"
"7","Celular","1347.34","5","4","3","2022-08-12","Vendido"
"8","Livro de Ficção","1993.08","2","4","2","2023-02-21","Vendido"
"9","Livro de Ficção","324.83","5","7","5","2022-12-23","Vendido"
"10","Celular","1631.67","1","3","7","2021-07-07","Vendido"
"11","Chocolate","1107.69","3","3","4","2023-06-08","Vendido"
"12","Camisa","1086.77","3","9","2","2020-03-08","Vendido"
"13","Livro de Ficção","1719.96","2","2","7","2022-08-15","Estoque"
"14","Bola de Futebol","569.19","4","3","3","2022-02-25","Vendido"
"15","Bola de Futebol","552.07","2","1","3","2020-01-27","Vendido"
"16","Chocolate","160.21","2","2","7","2020-01-11","Vendido"
"17","Chocolate","1029.71","2","2","1","2022-02-21","Estoque"
"18","Chocolate","1315.62","1","6","1","2020-08-04","Vendido"
"19","Chocolate","1184.92","5","1","2","2020-01-01","Vendido"
"20","Livro de Ficção","1691.66","2","7","4","2020-12-13","Vendido"
"21","Chocolate","310.6","2","3","10","2023-03-17","Vendido"
"22","Bola de Futebol","95.07","1","1","2","2022-04-28","Vendido"
"23","Livro de Ficção","16.57","1","1","3","2023-08-29","Estoque"
"24","Livro de Ficção","816.91","4","7","5","2022-08-15","Vendido"
"25","Livro de Ficção","1553.26","4","6","3","2021-12-04","Vendido"
"26","Bola de Futebol","117.2","5","7","2","2023-05-12","Vendido"
"27","Celular","290.37","4","6","2","2022-06-04","Vendido"
"28","Celular","1321.49","1","5","2","2023-04-08","Vendido"
"29","Chocolate","66.68","3","6","10","2021-04-21","Vendido"
"30","Camisa","109.05","4","10","5","2021-05-13","Vendido"
"31","Bola de Futebol","1992.8","2","1","2","2022-08-31","Vendido"
"32","Bola de Futebol","90.01","1","8","3","2020-08-01","Vendido"
"33","Celular","425.94","5","5","2","2021-12-17","Estoque"
"34","Celular","503.56","3","7","5","2021-02-12","Vendido"
"35","Livro de Ficção","457.82","2","4","8","2021-06-18","Vendido"
"36","Celular","1011.78","1","5","3","2023-03-31","Vendido"
"37","Livro de Ficção","643.36","2","1","2","2021-08-21","Vendido"
"38","Livro de Ficção","631.33","4","4","2","2021-10-20","Vendido"
"39","Livro de Ficção","1728.31","5","9","3","2023-01-07","Vendido"
"40","Celular","551.34","2","1","4","2022-07-18","Vendido"
"41","Chocolate","766.52","3","7","1","2021-11-23","Vendido"
"42","Bola de Futebol","960.29","3","8","2","2023-01-20","Estoque"
"43","Chocolate","568.09","3","10","10","2021-01-10","Vendido"
"44","Camisa","1935.84","3","7","6","2022-07-07","Estoque"
"45","Bola de Futebol","1497.79","2","1","7","2022-05-24","Estoque"
"46","Bola de Futebol","1481.29","5","1","5","2022-04-03","Estoque"
"47","Chocolate","407.91","3","10","9","2023-02-16","Vendido"
