"id_venda","data_venda","total_venda","cliente_id"
"1","2021-05-01","167.21","8112"
"2","2023-01-12","1315.33","76"
"3","2023-06-09","3044.6499999999996","1285"
"4","2021-01-31","4576.87","3897"
"5","2022-02-09","3429.25","2749"
"6","2022-11-09","1613.73","1080"
"7","2023-09-20","1597.57","4713"
"8","2023-09-30","553.8","6840"
"9","2022-05-19","2103.5","8757"
"10","2022-12-06","3393.08","2732"
"11","2022-03-07","89.49","9198"
"12","2021-11-24","6658.73","5742"
"13","2021-11-16","2585.83","4780"
"14","2020-02-05","4451.88","1896"
"15","2023-04-06","2384.06","4031"
"16","2021-11-18","2681.61","9752"
"17","2020-12-12","4014.58","6539"
"18","2022-01-16","3247.84","7639"
"19","2022-11-10","1321.77","2551"
"20","2022-06-26","452.17","539"
"21","2020-08-30","4133","6084"
"22","2022-01-16","2370.54","5438"
"23","2023-04-30","4133.49","949"
"24","2023-09-12","2169.7200000000003","216"
"25","2020-12-30","1759.09","3015"
"26","2023-01-13","2239.42","2289"
"27","2022-08-26","4676.56","8744"
"28","2020-08-17","5989.73","2029"
"29","2022-12-14","1770.8200000000002","3341"
"30","2022-01-17","461.05","5320"
"31","2023-03-12","1662.67","6889"
"32","2023-10-03","2892.96","9272"
"33","2022-01-01","4643.28","957"
"34","2020-11-12","1803.66","4497"
"35","2020-11-08","1975.1200000000001","1150"
"36","2021-11-05","3983.63","3402"
"37","2021-03-22","3166.11","2019"
"38","2021-04-22","3638.39","180"
"39","2022-02-04","2592.1800000000003","3876"
"40","2023-05-01","1297.95","9638"
"41","2022-08-01","4824.54","6640"
"42","2022-09-04","499.81","4199"
"43","2022-08-21","2926.41","4280"
"44","2022-11-15","2295.99","7957"
"45","2021-11-12","2860.7799999999997","8682"
"46","2023-07-16","2146.4300000000003","8936"
"47","2022-08-08","5596.57","6725"
"48","2022-02-07","1553.5500000000002","4196"
"49","2021-11-15","3472.75","8879"
"50","2022-08-18","4137.4400000000005","1974"
"51","2022-01-09","3329.42","1630"
"52","2021-01-31","1936.15","9063"
"53","2022-05-03","840.36","4165"
"54","2021-07-07","1401.04","322"
"55","2023-04-27","4601.86","7280"
"56","2021-05-05","485.05","9134"
"57","2022-02-06","4023.0099999999998","6355"
"58","2021-08-01","2837.76","9217"
"59","2021-11-22","1742","2202"
"60","2022-12-21","3821.25","9755"
"61","2021-02-25","1810.09","4884"
"62","2020-11-13","3603.58","9400"
"63","2021-06-16","2273.04","1846"
"64","2022-12-04","1702.2","98"
"65","2022-06-06","3946.8900000000003","5560"
"66","2020-10-24","3314.9800000000005","5187"
"67","2020-12-09","3116.48","5783"
"68","2023-08-29","1148.86","3956"
"69","2022-01-10","2349.6099999999997","2750"
"70","2022-07-10","3099.15","3280"
"71","2021-02-26","3019.05","2800"
"72","2023-09-05","3777.5200000000004","9381"
"73","2022-03-10","4140.14","7034"
"74","2021-05-27","1626.0500000000002","7309"
"75","2022-05-02","4060.3500000000004","3205"
"76","2022-10-30","592.87","1176"
"77","2022-07-02","7399.77","2515"
"78","2023-01-14","4460.83","195"
"79","2022-10-30","2253.65","6186"
"80","2023-01-14","2533.1200000000003","511"
"81","2022-12-09","3232.9300000000003","6280"
"82","2022-06-09","3932.3100000000004","9346"
"83","2020-05-12","2911.65","5031"
"84","2020-12-29","4007.0699999999997","6167"
"85","2023-10-21","4373.910000000001","1904"
"86","2023-09-12","3463.1400000000003","2450"
"87","2022-11-23","2539.13","2058"
"88","2020-12-21","5166.4400000000005","8298"
"89","2022-09-06","2635.54","3876"
"90","2022-04-15","2869.4500000000003","5808"
"91","2021-11-18","5345.530000000001","3232"
"92","2022-11-03","2535.4700000000003","3382"
"93","2021-11-12","5443.66","821"
"94","2021-03-22","5693.789999999999","9554"
"95","2022-11-04","3680.5499999999997","2279"
"96","2021-09-21","4475.59","1890"
"97","2022-05-28","672.66","2609"
"98","2022-05-14","3388.64","9518"
"99","2020-11-09","5130.139999999999","1226"
"100","2022-09-15","2324.9900000000002","4633"
"101","2021-10-08","2305.91","7190"
"102","2023-04-11","3769.4500000000003","6740"
"103","2023-02-02","5285.59","3992"
"104","2021-01-04","3249.86","1571"
"105","2022-09-21","720.36","7872"
"106","2022-01-21","5019.03","2873"
"107","2023-10-17","723.14","2719"
"108","2020-06-05","2698.98","9452"
"109","2021-10-04","1191.2","4871"
"110","2021-04-28","5168.709999999999","5079"
"111","2023-02-23","1041.4","2557"
"112","2021-04-30","3347.67","2150"
"113","2021-09-05","3560.12","742"
"114","2022-06-02","1784.31","3803"
"115","2021-11-16","3846.18","1170"
"116","2022-08-11","5505.8","8136"
"117","2022-07-27","91","6269"
"118","2021-11-18","4160.71","5304"
"119","2022-02-22","5081.65","7941"
"120","2021-12-30","2858.1099999999997","2327"
"121","2020-05-11","2599.75","7277"
"122","2023-06-03","7259.63","6243"
"123","2022-04-25","618.94","2656"
"124","2021-06-08","2125.98","8705"
"125","2022-08-21","2819.8","1140"
"126","2021-07-28","1628.94","7724"
"127","2021-11-08","2622.3","1340"
"128","2021-06-17","1848.1","5805"
"129","2020-05-25","821.82","4144"
"130","2022-12-16","544.85","1905"
"131","2021-03-30","2419.63","7535"
"132","2020-01-22","5259.33","6525"
"133","2022-06-02","5252.499999999999","471"
"134","2023-01-16","3969.14","4788"
"135","2022-12-17","398.02","781"
"136","2021-01-11","1717.45","3350"
"137","2021-09-08","4441.8","5969"
"138","2023-01-13","3076.95","9670"
"139","2023-01-21","4533.179999999999","7289"
"140","2022-04-01","3448.3","6133"
"141","2022-01-05","6395.99","9991"
"142","2022-03-20","5025.59","6696"
"143","2020-11-13","1882.98","7602"
"144","2022-01-27","3234.98","9151"
"145","2023-10-17","3747.13","7801"
"146","2021-05-09","966.5","9654"
"147","2022-11-21","2302.62","6923"
"148","2021-01-04","4393.3","262"
"149","2022-11-22","6219.26","3070"
"150","2022-09-02","1500.95","7243"
"151","2021-11-14","3881.7999999999997","1171"
"152","2020-11-08","6798.58","9841"
"153","2023-03-13","5714.84","6121"
"154","2022-04-04","3974.9500000000003","4293"
"155","2023-07-14","4804.2","1123"
"156","2021-04-23","5462.6","4302"
"157","2021-11-03","182.26","5489"
"158","2022-08-14","2786.07","5779"
"159","2022-12-08","6361.8","10"
"160","2023-02-09","1376.16","3289"
"161","2022-02-07","1117.72","5428"
"162","2020-12-15","6023.43","2299"
"163","2021-06-24","6009.39","9643"
"164","2022-12-29","1686.31","7189"
"165","2023-07-30","3484.8599999999997","2296"
"166","2023-01-25","5313.08","5242"
"167","2022-12-07","2189.37","1099"
"168","2022-05-29","826.2","1384"
"169","2022-12-20","2135.05","812"
"170","2022-01-12","3448.1800000000003","5971"
"171","2020-03-02","3053.58","1449"
"172","2022-08-18","7867.95","7621"
"173","2020-11-23","806.58","1930"
"174","2022-08-03","2311.0299999999997","9097"
"175","2021-11-14","1720.96","7606"
"176","2020-11-22","4972.34","6196"
"177","2022-07-02","2261.36","6351"
"178","2022-12-22","3818.15","7559"
"179","2021-05-01","1989.55","4936"
"180","2022-05-30","4969.62","5310"
"181","2023-09-21","6094.23","6983"
"182","2022-02-28","5369.8099999999995","1200"
"183","2020-10-25","5992.3099999999995","1822"
"184","2021-01-06","2446.08","1610"
"185","2023-01-18","1789.5900000000001","1841"
"186","2021-08-17","4223.15","583"
"187","2023-03-28","5240.969999999999","7443"
"188","2020-01-07","3400.03","7111"
"189","2021-06-20","3139.79","7160"
"190","2021-12-05","891.86","9018"
"191","2021-11-09","5585.58","8696"
"192","2023-04-28","5705.4400000000005","5277"
"193","2020-03-06","2335.26","4580"
"194","2022-11-02","1262","1978"
"195","2023-02-01","2037.81","2025"
"196","2023-03-15","3952","9425"
"197","2022-12-28","4087.9100000000003","8196"
"198","2023-06-28","790.03","3454"
"199","2022-01-01","5363.21","6094"
"200","2022-02-13","4825.41","989"
"201","2021-06-29","4534.209999999999","2119"
"202","2021-12-10","3152.77","8263"
"203","2023-01-05","4457.06","5009"
"204","2022-09-05","6107.99","2327"
"205","2021-10-19","4976.889999999999","4302"
"206","2020-02-25","6934.38","6430"
"207","2023-09-26","1666.81","1797"
"208","2021-11-05","1235.4","291"
"209","2022-03-14","2071.13","4237"
"210","2023-02-18","57.32","6826"
"211","2020-03-28","4573.25","4335"
"212","2020-03-20","289.21","9899"
"213","2020-12-20","2787.82","2041"
"214","2022-09-08","4361.25","8116"
"215","2022-04-13","6348.12","7041"
"216","2021-02-26","1913.69","3410"
"217","2022-07-17","2176.2","6600"
"218","2021-10-07","2752.2799999999997","4303"
"219","2021-09-28","5454.389999999999","3283"
"220","2022-12-06","1032.39","4256"
"221","2021-02-15","5191.6900000000005","4765"
"222","2022-11-04","3728.7299999999996","1011"
"223","2020-11-08","3139.52","3946"
"224","2021-05-25","2710.06","8868"
"225","2022-01-30","861.48","2808"
"226","2020-08-11","2830.38","5229"
"227","2022-05-28","4445.06","1"
"228","2022-03-31","6094.27","3282"
"229","2023-03-28","5364.17","3420"
"230","2021-12-31","3250.78","9802"
"231","2023-02-21","1149.47","3211"
"232","2021-01-28","3023.4700000000003","2892"
"233","2022-04-18","1784.79","4019"
"234","2023-06-10","2793.94","5335"
"235","2021-11-01","5606.4400000000005","3471"
"236","2022-01-10","1336.88","580"
"237","2021-12-13","3110.2799999999997","108"
"238","2021-01-18","1541.15","5651"
"239","2023-10-16","3162.9700000000003","5595"
"240","2022-02-10","1353.38","791"
"241","2022-02-13","6158.320000000001","7853"
"242","2021-05-17","5234.65","192"
"243","2022-06-21","168.55","4995"
"244","2022-08-05","1431.44","7904"
"245","2023-03-11","5444.2","280"
"246","2020-02-13","3088.52","6627"
"247","2022-10-22","5303.88","9064"
"248","2023-10-16","3266.38","9430"
"249","2022-09-05","890.1500000000001","9775"
"250","2023-10-18","8400.630000000001","158"
"251","2022-11-02","1109.8400000000001","1486"
"252","2022-02-11","4297.68","1827"
"253","2022-09-28","879.23","2116"
"254","2022-12-17","1098.6","524"
"255","2022-03-07","1165.64","2471"
"256","2022-01-23","976.6899999999999","6524"
"257","2023-03-13","2925.81","7700"
"258","2020-09-05","2169.59","1133"
"259","2021-06-22","4685.14","1398"
"260","2021-05-28","1331.8","643"
"261","2020-11-26","1690.49","7335"
"262","2023-01-15","3235.9700000000003","8649"
"263","2021-06-01","2366.13","2696"
"264","2021-08-23","904.41","9480"
"265","2022-04-25","4184.21","63"
"266","2022-12-18","192.86","3918"
"267","2021-01-24","2289.39","4474"
"268","2023-10-27","3888.3599999999997","3644"
"269","2022-03-10","2396.73","1990"
"270","2023-01-23","1335.01","5581"
"271","2021-07-04","4573.81","657"
"272","2021-11-20","1769.59","3804"
"273","2020-12-06","4332.51","85"
"274","2022-01-22","159.41","5043"
"275","2022-01-17","4285.9","3722"
"276","2020-11-17","1692.24","3474"
"277","2022-07-10","927.86","5537"
"278","2022-11-30","5765.04","8629"
"279","2020-01-15","4066.14","2882"
"280","2022-08-30","612.47","9436"
"281","2023-02-20","5338.65","4041"
"282","2022-12-06","2642.06","9597"
"283","2020-06-13","1513.56","9684"
"284","2021-05-10","3392.83","7405"
"285","2021-12-23","5620.320000000001","3380"
"286","2021-08-13","2802.3199999999997","7058"
"287","2021-03-12","7667.710000000001","1032"
"288","2022-11-10","5281.43","4243"
"289","2023-06-15","2621.5699999999997","3505"
"290","2022-02-24","3099.59","9843"
"291","2021-08-08","4006.46","5331"
"292","2021-12-04","1365.89","9213"
"293","2023-08-17","1306.58","9277"
"294","2022-12-20","4569.139999999999","7711"
"295","2021-01-20","317.02","1322"
"296","2020-04-10","2699.39","8837"
"297","2023-06-22","2954.13","2908"
"298","2023-07-06","3224.55","2190"
"299","2022-11-28","5516.039999999999","7650"
"300","2020-01-03","3714.61","8019"
"301","2021-12-24","3503.98","7532"
"302","2021-05-03","3496.33","3406"
"303","2023-06-16","2494.15","2257"
"304","2022-05-16","4612.32","2428"
"305","2021-11-18","115.81","2571"
"306","2022-03-25","1207.27","323"
"307","2023-05-14","5322.28","7283"
"308","2023-06-13","1704.27","4687"
"309","2022-07-16","4368.21","2636"
"310","2020-11-29","5064.549999999999","5653"
"311","2023-09-09","1157.32","1142"
"312","2020-11-11","5181.27","8632"
"313","2020-11-24","4511.93","6756"
"314","2022-10-09","5737.46","2814"
"315","2021-02-12","1342.35","9059"
"316","2023-01-12","2576.49","3439"
"317","2021-06-01","3398.92","846"
"318","2020-01-31","1877.27","9928"
"319","2022-10-30","3619.29","5950"
"320","2021-03-28","4906.43","4368"
"321","2023-01-18","2644.52","6147"
"322","2023-01-11","3473.9399999999996","3101"
"323","2020-08-12","3739.5199999999995","5600"
"324","2023-04-25","5353.610000000001","227"
"325","2023-01-19","14.29","1790"
"326","2023-08-15","2130.2400000000002","7796"
"327","2023-06-02","1215.75","2818"
"328","2020-05-22","1967.75","9933"
"329","2023-09-11","6025.75","8314"
"330","2021-08-22","2014.21","4263"
"331","2020-11-13","2113.54","2917"
"332","2020-03-07","2329.51","7166"
"333","2022-03-31","3965.52","9500"
"334","2022-06-22","1541.94","6803"
"335","2022-06-28","3386.24","2203"
"336","2020-05-18","2752.55","6162"
"337","2021-03-07","2537.4700000000003","8607"
"338","2021-11-12","3495.6000000000004","2624"
"339","2023-04-04","389.12","753"
"340","2021-10-07","2915.55","2504"
"341","2023-09-29","759.74","9632"
"342","2022-12-23","2224.83","8178"
"343","2023-08-11","1516.18","5009"
"344","2020-02-08","4110.26","2922"
"345","2023-10-15","630.32","2007"
"346","2020-01-20","3307.72","9387"
"347","2020-11-02","2658.41","4528"
"348","2022-01-04","5164.42","3320"
"349","2021-11-14","1972.06","7646"
"350","2020-11-02","3029.91","2496"
"351","2022-12-15","3266.13","6236"
"352","2020-05-13","604","9455"
"353","2020-12-04","2731.9","7897"
"354","2022-11-02","1020.98","6211"
"355","2020-08-12","714.13","9617"
"356","2021-07-08","3750.2800000000007","4278"
"357","2021-07-27","3660.11","9800"
"358","2020-01-26","1725.4099999999999","5299"
"359","2021-12-30","1963.9","3720"
"360","2023-04-19","3339.7400000000002","5179"
"361","2021-03-19","4398.43","1287"
"362","2020-06-01","4929.25","7998"
"363","2021-12-21","5547.91","1493"
"364","2021-07-16","5147.37","602"
"365","2021-07-03","1939.25","1041"
"366","2020-11-23","3438.9800000000005","9859"
"367","2021-06-22","6813.929999999999","7211"
"368","2021-02-15","5811.1","7782"
"369","2022-09-17","3142.6799999999994","3636"
"370","2023-04-11","6019.66","7017"
"371","2020-08-01","1116.3","812"
"372","2021-01-01","3854.21","6450"
"373","2021-07-04","2744.8","5737"
"374","2023-01-13","2318.56","6618"
"375","2022-01-31","558.86","4229"
"376","2023-04-12","4656.42","919"
"377","2020-07-23","3552.12","9138"
"378","2020-05-20","4401.35","9351"
"379","2023-03-17","538.7","4796"
"380","2022-06-04","900.67","2415"
"381","2022-11-06","3314.88","4130"
"382","2022-03-10","6202.56","3250"
"383","2020-05-25","4301.04","6250"
"384","2021-02-11","1145.25","4385"
"385","2020-08-17","2179.6099999999997","1831"
"386","2020-02-17","2897.92","947"
"387","2022-03-15","1997.73","2157"
"388","2023-03-05","5261.879999999999","1638"
"389","2020-11-22","3200.31","5425"
"390","2021-12-12","199.51","9093"
"391","2023-04-14","3788.75","3167"
"392","2020-08-29","2132.33","2068"
"393","2020-11-06","4373.75","9084"
"394","2023-01-21","944.6","124"
"395","2022-01-10","2652.56","1868"
"396","2022-12-30","5818.639999999999","6566"
"397","2023-08-29","4448.9400000000005","3122"
"398","2022-01-30","773.34","5591"
"399","2022-05-07","4698.53","8973"
"400","2020-11-16","151.08999999999997","7181"
"401","2022-08-05","1069.27","2289"
"402","2023-03-24","4843.25","6839"
"403","2022-01-02","3413.83","4033"
"404","2022-07-19","1908.28","8268"
"405","2022-05-20","6132.58","2743"
"406","2023-03-28","6320.219999999999","2356"
"407","2021-03-10","3822.9399999999996","4668"
"408","2022-08-21","1747.15","7800"
"409","2022-01-31","6233.69","7287"
"410","2022-02-03","4503.99","5720"
"411","2022-03-18","820.56","1760"
"412","2022-01-27","4024.28","5569"
"413","2022-12-18","1248.32","8523"
"414","2021-11-14","5170.55","4749"
"415","2021-05-20","3088.09","4477"
"416","2020-09-27","3205.85","4973"
"417","2020-12-09","3055.41","7968"
"418","2023-09-30","1824.32","2702"
"419","2022-11-17","5057.23","4052"
"420","2021-04-03","2788.99","4009"
"421","2021-05-28","1953.67","1362"
"422","2022-04-17","36.38","9146"
"423","2021-11-28","1803.3","5600"
"424","2022-07-07","946.16","6750"
"425","2020-12-11","5483.77","3635"
"426","2023-05-12","5696.55","4583"
"427","2020-06-17","999.89","610"
"428","2023-05-30","2884.14","3448"
"429","2021-11-12","2740.3","1379"
"430","2022-12-03","4059.5299999999997","8248"
"431","2023-08-15","2265.1","5663"
"432","2021-11-12","1958.2199999999998","5427"
"433","2020-11-23","5700.85","6201"
"434","2023-03-07","3653.5800000000004","9444"
"435","2020-01-17","4330.21","8361"
"436","2022-08-29","1928.27","6697"
"437","2021-10-24","5773.11","978"
"438","2021-11-11","3706.45","1761"
"439","2023-07-12","3277.55","7932"
"440","2021-11-08","2219.99","1900"
"441","2022-11-28","775.28","2850"
"442","2022-09-26","3415.2","6582"
"443","2022-02-04","2137.26","6659"
"444","2021-04-27","6554.74","9777"
"445","2020-12-30","2215.62","9040"
"446","2022-11-11","1802.98","1160"
"447","2023-02-21","2608.09","6986"
"448","2021-10-27","3613.38","7532"
"449","2020-11-20","3085.19","9722"
"450","2020-11-09","7230.33","3196"
"451","2023-05-15","462.6","5655"
"452","2022-03-16","3206.76","4562"
"453","2022-09-29","2830.21","7839"
"454","2021-06-11","4745.17","4589"
"455","2020-11-11","8330.09","9543"
"456","2023-04-09","4370.21","2674"
"457","2022-09-10","2960.5699999999997","625"
"458","2022-01-15","2651.91","9635"
"459","2020-02-23","3523.33","6164"
"460","2023-10-26","2795.5099999999998","3314"
"461","2022-03-14","2549.36","1145"
"462","2022-07-03","3944.5699999999997","9057"
"463","2023-01-18","4917.19","964"
"464","2020-03-07","635.11","4846"
"465","2022-01-27","5460.91","4309"
"466","2021-03-27","3076.54","7154"
"467","2021-06-17","4402.72","1899"
"468","2020-03-16","2311.89","267"
"469","2022-11-30","2305.27","8813"
"470","2023-01-15","1345.4099999999999","3627"
"471","2023-01-23","365.3","2059"
"472","2023-05-15","6517.63","6879"
"473","2020-11-21","489.42","7092"
"474","2023-07-09","3199.33","9780"
"475","2022-05-03","1045.35","5842"
"476","2021-03-21","1845.52","4800"
"477","2023-01-12","3211","5949"
"478","2023-05-08","2030.06","8404"
"479","2020-11-30","3468.4100000000003","3700"
"480","2022-12-09","851.21","9934"
"481","2021-09-24","2487.59","5026"
"482","2020-12-14","1009.07","5849"
"483","2022-09-13","1884.4899999999998","6339"
"484","2022-02-24","2782.4100000000003","6445"
"485","2023-03-17","3693.4399999999996","533"
"486","2023-01-30","4510.42","6802"
"487","2021-06-08","4732","8859"
"488","2022-12-06","3212.5499999999997","7954"
"489","2021-11-10","2304.1800000000003","1734"
"490","2023-07-06","4834.53","4534"
"491","2021-09-01","1608.95","4315"
"492","2021-04-07","1290.06","2712"
"493","2020-05-28","569.26","1093"
"494","2022-08-26","3102.43","8070"
"495","2021-08-26","893.58","2220"
"496","2022-03-14","3157.36","9084"
"497","2023-02-07","2793.75","3782"
"498","2023-06-17","2997.65","5454"
"499","2020-05-07","1366.95","5988"
"500","2022-01-28","253.39","3847"
"501","2023-09-23","3087.73","8799"
"502","2022-05-04","3161.8699999999994","8123"
"503","2021-11-20","3900.18","2008"
"504","2023-06-18","1235.32","7384"
"505","2022-01-31","3877.2400000000002","4383"
"506","2020-12-14","1778.94","763"
"507","2022-04-11","2203.13","6817"
"508","2020-12-31","1097.4","3347"
"509","2020-11-15","5139.79","7953"
"510","2023-06-16","3201.59","8146"
"511","2022-01-26","859.91","9555"
"512","2022-09-04","1755.92","9043"
"513","2021-12-24","5025.000000000001","9948"
"514","2022-02-07","1580.0900000000001","9875"
"515","2022-01-20","5541.29","9582"
"516","2021-11-20","70.33","5467"
"517","2022-10-17","202.32","9122"
"518","2021-12-25","2786.37","3446"
"519","2020-02-06","2572.2","7342"
"520","2021-01-07","2126.74","7328"
"521","2020-09-27","2344.3199999999997","1646"
"522","2021-11-18","1991.6","2155"
"523","2020-11-29","3520.4400000000005","4794"
"524","2020-06-13","1731.29","3958"
"525","2020-01-13","4046.7400000000002","2928"
"526","2023-09-07","1480.14","4019"
"527","2022-11-14","62.49","5763"
"528","2023-05-23","4040.4300000000003","9561"
"529","2022-01-25","4424.83","7400"
"530","2022-03-02","6050.81","4271"
"531","2023-05-21","1500.85","8483"
"532","2020-08-12","2957","3436"
"533","2021-06-29","1568.09","5177"
"534","2021-08-12","6001.280000000001","6780"
"535","2021-11-19","2412.3999999999996","7239"
"536","2020-11-09","4009.39","3172"
"537","2023-05-17","3155.04","1272"
"538","2021-01-28","1820.93","7639"
"539","2021-11-02","1562.01","5887"
"540","2021-08-20","3770.91","9019"
"541","2022-06-30","1693.88","9496"
"542","2021-11-22","3310.9900000000002","4311"
"543","2021-05-28","6557","6676"
"544","2023-05-05","5144.74","2534"
"545","2023-07-19","3409.17","8236"
"546","2021-04-28","5543.09","7904"
"547","2022-11-04","8763.45","6039"
"548","2020-03-20","5354.849999999999","8725"
"549","2021-11-16","2560.84","865"
"550","2020-03-15","732.62","8089"
"551","2022-01-08","7708.31","5038"
"552","2021-11-10","5637.57","4387"
"553","2021-03-26","3331.34","1303"
"554","2023-04-17","6168.28","1074"
"555","2021-03-21","1376.6100000000001","2255"
"556","2023-05-21","3761.17","2971"
"557","2023-01-07","2831.29","9668"
"558","2021-12-12","8279.47","1424"
"559","2023-01-09","4728.2699999999995","7601"
"560","2022-11-11","1049.3500000000001","7600"
"561","2020-10-30","3527.49","9468"
"562","2023-03-19","35.21","7287"
"563","2021-08-10","4402.320000000001","4802"
"564","2020-11-03","5726.69","6440"
"565","2020-06-05","3852.62","8458"
"566","2021-12-09","4912.42","5947"
"567","2023-10-19","893.0500000000001","7758"
"568","2020-12-24","4988.98","4065"
"569","2022-12-30","1876.02","5089"
"570","2022-06-06","4838.7","8466"
"571","2022-07-05","2174.75","9938"
"572","2022-09-05","445.72","7290"
"573","2021-02-22","156.24","2627"
"574","2022-03-31","8258.4","5023"
"575","2020-10-14","2640.2000000000003","945"
"576","2021-11-08","5389.04","2143"
"577","2021-09-20","3965.23","906"
"578","2021-02-14","4864.48","6971"
"579","2023-10-27","2141.11","2084"
"580","2021-11-10","3184.81","6413"
"581","2022-11-14","3101.06","9855"
"582","2021-03-23","4806.78","6535"
"583","2022-10-24","1563.6","1562"
"584","2023-03-04","4894.910000000001","201"
"585","2022-08-08","4505.82","6505"
"586","2022-07-08","254.79","7308"
"587","2023-10-10","1771.9","5537"
"588","2022-06-23","3512.84","1696"
"589","2021-07-13","939.09","2036"
"590","2021-10-09","4214.52","6061"
"591","2021-11-06","3193.8","1358"
"592","2022-08-18","2982.2200000000003","5986"
"593","2021-12-05","4854.950000000001","5538"
"594","2020-11-08","4578.26","6724"
"595","2020-12-20","3744.39","6845"
"596","2020-02-08","5680.889999999999","2708"
"597","2022-01-31","5849.2","9592"
"598","2021-08-02","2767.45","5078"
"599","2020-11-21","1890.51","9345"
"600","2023-01-12","1214.1","4483"
"601","2022-12-14","2177.92","8050"
"602","2021-05-25","447.69","2277"
"603","2020-11-25","3541.29","6398"
"604","2021-12-01","5695.53","1482"
"605","2021-01-07","4690.610000000001","341"
"606","2023-08-23","1687.45","695"
"607","2022-03-19","38.6","9745"
"608","2022-10-24","4507.89","8284"
